PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;man;0;0;0;0;0;0;0;0;8;10
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;onderwijs;leraar basisonderwijs;59329;B Pedagogische Wetenschappen van Primair Onderwijs;voltijd onderwijs;vrouw;0;0;0;0;0;0;0;0;38;48
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;man;0;0;47;55;65;79;85;81;64;66
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;vrouw;0;0;141;137;156;155;164;158;139;132
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;man;81;55;34;22;34;44;39;46;43;38
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;vrouw;121;87;58;41;43;41;46;50;46;41
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;514;501;423;476;506;559;536;550;593;632
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;743;743;653;658;685;730;749;793;900;968
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;man;9;8;5;4;1;2;1;3;1;1
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;vrouw;15;14;7;7;5;8;8;15;16;21
